City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Fortuna,US,40.5982,-124.1573,57.99,82,1,13.8,clear sky
253,Geraldton,AU,-28.7667,114.6,66.2,63,1,12.66,clear sky
254,Kataysk,RU,56.289,62.5841,5.5,91,16,10.27,few clouds
255,Mount Isa,AU,-20.7333,139.5,84.2,58,35,8.05,scattered clouds
256,Merauke,ID,-8.4667,140.3333,80.13,84,100,10.83,light rain
257,Navahrudak,BY,53.6,25.8333,29.34,93,72,8.77,broken clouds
258,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,0,5.37,clear sky
259,Huntington,US,38.4193,-82.4452,60.8,39,1,9.22,clear sky
260,Cooma,AU,-36.2333,149.1333,62.6,94,39,10.36,scattered clouds
261,Zaraza,VE,9.3503,-65.3245,79.74,63,95,11.68,overcast clouds
262,Ushibuka,JP,32.1906,130.0228,56.17,70,3,20.49,clear sky
263,Palmerston,AU,-12.486,130.9833,81.0,94,75,2.3,broken clouds
264,Dolores,AR,-36.3132,-57.6792,62.35,66,0,9.55,clear sky
265,Kaeo,NZ,-35.1,173.7833,70.0,72,36,11.27,scattered clouds
266,Realeza,BR,-25.7689,-53.5325,69.4,63,0,2.91,clear sky
267,Bandarbeyla,SO,9.4942,50.8122,76.1,74,0,7.72,clear sky
268,Sokolo,ML,14.7328,-6.1219,70.84,15,0,13.13,clear sky
269,Shahr-E Babak,IR,30.1165,55.1186,53.33,50,97,37.45,overcast clouds
270,Semey,KZ,50.4111,80.2275,11.64,93,100,19.35,light snow
271,Te Anau,NZ,-45.4167,167.7167,64.22,59,17,3.94,few clouds
272,Canton,CN,23.1167,113.25,72.0,77,40,2.24,scattered clouds
273,Buala,SB,-8.145,159.5921,84.67,64,5,5.68,clear sky
274,Mercedes,AR,-34.6515,-59.4307,79.0,51,5,3.0,clear sky
275,Cherlak,RU,54.155,74.8055,-2.63,94,100,12.01,overcast clouds
276,Saint-Georges,GD,12.0564,-61.7485,80.6,78,75,17.27,broken clouds
277,Ewa Beach,US,21.3156,-158.0072,82.4,69,40,14.97,light rain
278,Paliyad,IN,22.25,71.5667,71.51,54,0,11.92,clear sky
279,Marsh Harbour,BS,26.5412,-77.0636,71.35,75,0,17.94,clear sky
280,Narsaq,GL,60.9167,-46.05,14.0,62,75,8.05,broken clouds
